# lba,c,h,s
7562,7,0,197
10932,10,0,346
13600,13,0,144
22264,21,0,380
23052,22,0,262
28182,27,0,267
29776,29,0,40
29804,29,0,54
33842,33,0,25
33844,33,0,26
33846,33,0,27
33848,33,0,28
33852,33,0,30
34872,34,0,28
34876,34,0,30
34878,34,0,31
34880,34,0,32
34884,34,0,34
34886,34,0,35
34888,34,0,36
34946,34,0,65
34948,34,0,66
35884,35,0,22
35888,35,0,24
35890,35,0,25
35892,35,0,26
35894,35,0,27
35896,35,0,28
35990,35,0,75
37018,36,0,77
37020,36,0,78
38004,37,0,58
38008,37,0,60
38010,37,0,61
38012,37,0,62
38034,37,0,73
38994,38,0,41
39038,38,0,63
39054,38,0,71
39056,38,0,72
39058,38,0,73
39060,38,0,74
39062,38,0,75
41070,40,0,55
41072,40,0,56
41076,40,0,58
41078,40,0,59
41088,40,0,64
41090,40,0,65
41094,40,0,67
41096,40,0,68
41098,40,0,69
42106,41,0,61
43090,42,0,41
43094,42,0,43
43096,42,0,44
43148,42,0,70
43150,42,0,71
43152,42,0,72
43154,42,0,73
43156,42,0,74
44106,43,0,37
44108,43,0,38
44110,43,0,39
44114,43,0,41
44116,43,0,42
44120,43,0,44
44122,43,0,45
44124,43,0,46
44126,43,0,47
44128,43,0,48
44132,43,0,50
44134,43,0,51
44136,43,0,52
44138,43,0,53
44140,43,0,54
44142,43,0,55
44220,43,0,94
44222,43,0,95
44224,43,0,96
45096,44,0,20
45098,44,0,21
45100,44,0,22
45102,44,0,23
45104,44,0,24
45118,44,0,31
45120,44,0,32
45122,44,0,33
45130,44,0,37
45132,44,0,38
45134,44,0,39
45138,44,0,41
45140,44,0,42
45142,44,0,43
45144,44,0,44
45146,44,0,45
45148,44,0,46
45150,44,0,47
45152,44,0,48
45156,44,0,50
45158,44,0,51
45160,44,0,52
45162,44,0,53
45164,44,0,54
45166,44,0,55
45168,44,0,56
45170,44,0,57
45172,44,0,58
45174,44,0,59
46134,45,0,27
46136,45,0,28
46138,45,0,29
46142,45,0,31
46144,45,0,32
46152,45,0,36
46154,45,0,37
46156,45,0,38
46158,45,0,39
46160,45,0,40
46162,45,0,41
46164,45,0,42
46166,45,0,43
46168,45,0,44
46170,45,0,45
46172,45,0,46
46174,45,0,47
46176,45,0,48
46180,45,0,50
46182,45,0,51
46184,45,0,52
46186,45,0,53
46188,45,0,54
46190,45,0,55
46194,45,0,57
46196,45,0,58
46198,45,0,59
46200,45,0,60
46206,45,0,63
46208,45,0,64
46210,45,0,65
46218,45,0,69
46252,45,0,86
46256,45,0,88
47176,46,0,36
47178,46,0,37
47180,46,0,38
47200,46,0,48
47204,46,0,50
47206,46,0,51
47208,46,0,52
47210,46,0,53
47212,46,0,54
47214,46,0,55
47216,46,0,56
47220,46,0,58
47222,46,0,59
47224,46,0,60
47226,46,0,61
47228,46,0,62
47230,46,0,63
47232,46,0,64
47234,46,0,65
47240,46,0,68
47242,46,0,69
47244,46,0,70
47246,46,0,71
48158,47,0,15
48162,47,0,17
48174,47,0,23
48176,47,0,24
48182,47,0,27
48184,47,0,28
48186,47,0,29
48190,47,0,31
48192,47,0,32
48194,47,0,33
48196,47,0,34
48198,47,0,35
48200,47,0,36
48202,47,0,37
48204,47,0,38
48206,47,0,39
48212,47,0,42
48214,47,0,43
48216,47,0,44
48218,47,0,45
48220,47,0,46
48228,47,0,50
48230,47,0,51
48232,47,0,52
48234,47,0,53
48236,47,0,54
48238,47,0,55
48240,47,0,56
48246,47,0,59
48248,47,0,60
48250,47,0,61
48252,47,0,62
48254,47,0,63
48256,47,0,64
48262,47,0,67
48264,47,0,68
48266,47,0,69
48274,47,0,73
48320,47,0,96
48322,47,0,97
48324,47,0,98
48326,47,0,99
48328,47,0,100
48330,47,0,101
49190,48,0,19
49192,48,0,20
49194,48,0,21
49196,48,0,22
49198,48,0,23
49200,48,0,24
49202,48,0,25
49208,48,0,28
49210,48,0,29
49214,48,0,31
49216,48,0,32
49218,48,0,33
49220,48,0,34
49222,48,0,35
49224,48,0,36
49226,48,0,37
49228,48,0,38
49232,48,0,40
49236,48,0,42
49238,48,0,43
49256,48,0,52
49258,48,0,53
49260,48,0,54
49266,48,0,57
49272,48,0,60
49274,48,0,61
49276,48,0,62
49278,48,0,63
49280,48,0,64
49284,48,0,66
49286,48,0,67
49288,48,0,68
49292,48,0,70
49294,48,0,71
49296,48,0,72
49338,48,0,93
49340,48,0,94
49342,48,0,95
49344,48,0,96
50212,49,0,18
50214,49,0,19
50222,49,0,23
50224,49,0,24
50226,49,0,25
50228,49,0,26
50232,49,0,28
50234,49,0,29
50238,49,0,31
50240,49,0,32
50242,49,0,33
50244,49,0,34
50248,49,0,36
50250,49,0,37
50254,49,0,39
50256,49,0,40
50262,49,0,43
50288,49,0,56
50296,49,0,60
50298,49,0,61
50300,49,0,62
50302,49,0,63
50304,49,0,64
50306,49,0,65
50308,49,0,66
50310,49,0,67
50312,49,0,68
50314,49,0,69
50316,49,0,70
50318,49,0,71
50320,49,0,72
51254,50,0,27
51256,50,0,28
51258,50,0,29
51260,50,0,30
51262,50,0,31
51264,50,0,32
51314,50,0,57
51316,50,0,58
51320,50,0,60
51322,50,0,61
51326,50,0,63
51328,50,0,64
51330,50,0,65
51332,50,0,66
51334,50,0,67
51336,50,0,68
51338,50,0,69
51340,50,0,70
51342,50,0,71
51344,50,0,72
51348,50,0,74
51358,50,0,79
52136,50,0,468
52284,51,0,30
52286,51,0,31
52288,51,0,32
52290,51,0,33
52292,51,0,34
52352,51,0,64
52354,51,0,65
52358,51,0,67
52366,51,0,71
52368,51,0,72
52370,51,0,73
52372,51,0,74
52388,51,0,82
52390,51,0,83
52392,51,0,84
52424,51,0,100
52426,51,0,101
52428,51,0,102
52430,51,0,103
52434,51,0,105
52460,51,0,118
52462,51,0,119
52464,51,0,120
52466,51,0,121
52468,51,0,122
52470,51,0,123
53308,52,0,30
53310,52,0,31
53312,52,0,32
53316,52,0,34
53318,52,0,35
53344,52,0,48
53346,52,0,49
53376,52,0,64
53378,52,0,65
53380,52,0,66
53392,52,0,72
53394,52,0,73
53396,52,0,74
53398,52,0,75
53400,52,0,76
53402,52,0,77
53404,52,0,78
53406,52,0,79
53408,52,0,80
53412,52,0,82
53420,52,0,86
53482,52,0,117
53484,52,0,118
54310,53,0,19
54332,53,0,30
54334,53,0,31
54342,53,0,35
54344,53,0,36
54346,53,0,37
54348,53,0,38
54350,53,0,39
54400,53,0,64
54406,53,0,67
54408,53,0,68
54412,53,0,70
54414,53,0,71
54424,53,0,76
54426,53,0,77
54428,53,0,78
54430,53,0,79
54436,53,0,82
54444,53,0,86
54446,53,0,87
54448,53,0,88
55334,54,0,19
55336,54,0,20
55356,54,0,30
55374,54,0,39
55422,54,0,63
55424,54,0,64
55428,54,0,66
55430,54,0,67
55432,54,0,68
55434,54,0,69
55446,54,0,75
55448,54,0,76
55450,54,0,77
55452,54,0,78
55490,54,0,97
55560,54,0,132
56362,55,0,21
56364,55,0,22
56366,55,0,23
56380,55,0,30
56400,55,0,40
56406,55,0,43
56446,55,0,63
56448,55,0,64
56452,55,0,66
56454,55,0,67
56456,55,0,68
56466,55,0,73
56468,55,0,74
56470,55,0,75
56474,55,0,77
56476,55,0,78
56514,55,0,97
57390,56,0,23
57392,56,0,24
57394,56,0,25
57402,56,0,29
57404,56,0,30
57426,56,0,41
57428,56,0,42
57430,56,0,43
57432,56,0,44
57434,56,0,45
57456,56,0,56
57470,56,0,63
57472,56,0,64
57594,56,0,125
57900,56,0,278
58418,57,0,25
58420,57,0,26
58422,57,0,27
58424,57,0,28
58426,57,0,29
58428,57,0,30
58458,57,0,45
58460,57,0,46
58494,57,0,63
58518,57,0,75
58520,57,0,76
58598,57,0,115
59432,58,0,20
59434,58,0,21
59438,58,0,23
59440,58,0,24
59442,58,0,25
59444,58,0,26
59450,58,0,29
59452,58,0,30
59474,58,0,41
59476,58,0,42
59484,58,0,46
59486,58,0,47
59488,58,0,48
59490,58,0,49
59492,58,0,50
59518,58,0,63
59540,58,0,74
59542,58,0,75
59546,58,0,77
59548,58,0,78
59554,58,0,81
59562,58,0,85
59566,58,0,87
59568,58,0,88
59570,58,0,89
59572,58,0,90
