# lba,c,h,s
44120,43,0,44
44122,43,0,45
44124,43,0,46
44126,43,0,47
44128,43,0,48
45130,44,0,37
45132,44,0,38
45138,44,0,41
45140,44,0,42
45142,44,0,43
45144,44,0,44
45146,44,0,45
45148,44,0,46
45150,44,0,47
45152,44,0,48
45168,44,0,56
45170,44,0,57
45172,44,0,58
46152,45,0,36
46154,45,0,37
46156,45,0,38
46158,45,0,39
46160,45,0,40
46162,45,0,41
46164,45,0,42
46166,45,0,43
46172,45,0,46
46174,45,0,47
46194,45,0,57
46196,45,0,58
46198,45,0,59
46200,45,0,60
47176,46,0,36
47178,46,0,37
47180,46,0,38
47222,46,0,59
47224,46,0,60
47226,46,0,61
47228,46,0,62
47230,46,0,63
48192,47,0,32
48194,47,0,33
48196,47,0,34
48198,47,0,35
48200,47,0,36
48202,47,0,37
48204,47,0,38
48246,47,0,59
48248,47,0,60
48250,47,0,61
48252,47,0,62
48254,47,0,63
48256,47,0,64
49216,48,0,32
49218,48,0,33
49220,48,0,34
49222,48,0,35
49274,48,0,61
49276,48,0,62
49278,48,0,63
49280,48,0,64
50240,49,0,32
50242,49,0,33
50244,49,0,34
50302,49,0,63
50304,49,0,64
50306,49,0,65
50308,49,0,66
50310,49,0,67
50312,49,0,68
51262,50,0,31
51264,50,0,32
51328,50,0,64
51330,50,0,65
51332,50,0,66
51334,50,0,67
51336,50,0,68
51338,50,0,69
51340,50,0,70
51342,50,0,71
51344,50,0,72
52284,51,0,30
52286,51,0,31
52288,51,0,32
52352,51,0,64
52354,51,0,65
52366,51,0,71
52368,51,0,72
52370,51,0,73
53308,52,0,30
53310,52,0,31
53312,52,0,32
53376,52,0,64
53392,52,0,72
53394,52,0,73
53396,52,0,74
53398,52,0,75
53400,52,0,76
53402,52,0,77
54332,53,0,30
54334,53,0,31
54400,53,0,64
54424,53,0,76
54426,53,0,77
54428,53,0,78
54430,53,0,79
55356,54,0,30
55422,54,0,63
55424,54,0,64
55450,54,0,77
55452,54,0,78
56380,55,0,30
56446,55,0,63
56448,55,0,64
56474,55,0,77
56476,55,0,78
57402,56,0,29
57404,56,0,30
57470,56,0,63
57472,56,0,64
58426,57,0,29
58428,57,0,30
58494,57,0,63
59450,58,0,29
59452,58,0,30
59518,58,0,63
59570,58,0,89
59572,58,0,90
59574,58,0,91
59576,58,0,92
60474,59,0,29
60476,59,0,30
60538,59,0,61
60540,59,0,62
60542,59,0,63
60594,59,0,89
60596,59,0,90
60598,59,0,91
60600,59,0,92
60602,59,0,93
60604,59,0,94
60606,59,0,95
61498,60,0,29
61500,60,0,30
61560,60,0,60
61562,60,0,61
61564,60,0,62
61566,60,0,63
61618,60,0,89
61628,60,0,94
61630,60,0,95
61632,60,0,96
61634,60,0,97
62522,61,0,29
62524,61,0,30
62584,61,0,60
62586,61,0,61
62588,61,0,62
62590,61,0,63
62642,61,0,89
62652,61,0,94
62654,61,0,95
62656,61,0,96
62658,61,0,97
62660,61,0,98
62662,61,0,99
62664,61,0,100
62666,61,0,101
63546,62,0,29
63548,62,0,30
63608,62,0,60
63610,62,0,61
63664,62,0,88
63666,62,0,89
63678,62,0,95
63680,62,0,96
63682,62,0,97
63684,62,0,98
63686,62,0,99
63688,62,0,100
63690,62,0,101
64570,63,0,29
64572,63,0,30
64632,63,0,60
64634,63,0,61
64688,63,0,88
64690,63,0,89
64712,63,0,100
64714,63,0,101
65594,64,0,29
65654,64,0,59
65656,64,0,60
65658,64,0,61
65712,64,0,88
65714,64,0,89
66618,65,0,29
66620,65,0,30
66622,65,0,31
66676,65,0,58
66678,65,0,59
66680,65,0,60
66682,65,0,61
66736,65,0,88
67642,66,0,29
67644,66,0,30
67646,66,0,31
67700,66,0,58
67702,66,0,59
67704,66,0,60
67756,66,0,86
67758,66,0,87
67760,66,0,88
68666,67,0,29
68668,67,0,30
68670,67,0,31
68724,67,0,58
68778,67,0,85
68780,67,0,86
68782,67,0,87
68840,67,0,116
69690,68,0,29
69692,68,0,30
69694,68,0,31
69748,68,0,58
69802,68,0,85
69804,68,0,86
69806,68,0,87
69864,68,0,116
69866,68,0,117
69868,68,0,118
69870,68,0,119
69872,68,0,120
69874,68,0,121
70714,69,0,29
70716,69,0,30
70718,69,0,31
70770,69,0,57
70772,69,0,58
70826,69,0,85
70828,69,0,86
70886,69,0,115
70888,69,0,116
70890,69,0,117
70892,69,0,118
70894,69,0,119
70896,69,0,120
70898,69,0,121
70900,69,0,122
70902,69,0,123
70904,69,0,124
70906,69,0,125
71742,70,0,31
71794,70,0,57
71796,70,0,58
71850,70,0,85
71852,70,0,86
71906,70,0,113
71908,70,0,114
71910,70,0,115
71912,70,0,116
71914,70,0,117
71918,70,0,119
71920,70,0,120
71922,70,0,121
71924,70,0,122
71926,70,0,123
71928,70,0,124
71930,70,0,125
72764,71,0,30
72766,71,0,31
72768,71,0,32
72770,71,0,33
72818,71,0,57
72872,71,0,84
72874,71,0,85
72876,71,0,86
72930,71,0,113
72932,71,0,114
72934,71,0,115
72952,71,0,124
72954,71,0,125
73788,72,0,30
73790,72,0,31
73792,72,0,32
73794,72,0,33
73842,72,0,57
73896,72,0,84
73898,72,0,85
73900,72,0,86
73902,72,0,87
73948,72,0,110
73950,72,0,111
73952,72,0,112
73954,72,0,113
73956,72,0,114
74814,73,0,31
74816,73,0,32
74818,73,0,33
74866,73,0,57
74920,73,0,84
74922,73,0,85
74924,73,0,86
74926,73,0,87
74972,73,0,110
74974,73,0,111
74976,73,0,112
75842,74,0,33
75844,74,0,34
75846,74,0,35
75888,74,0,56
75890,74,0,57
75942,74,0,83
75944,74,0,84
75946,74,0,85
75948,74,0,86
75950,74,0,87
75994,74,0,109
75996,74,0,110
76866,75,0,33
76868,75,0,34
76870,75,0,35
76872,75,0,36
76912,75,0,56
76914,75,0,57
76966,75,0,83
76968,75,0,84
76970,75,0,85
76974,75,0,87
76976,75,0,88
76978,75,0,89
76980,75,0,90
77016,75,0,108
77018,75,0,109
77020,75,0,110
77890,76,0,33
77892,76,0,34
77894,76,0,35
77896,76,0,36
77936,76,0,56
77988,76,0,82
77990,76,0,83
77992,76,0,84
77994,76,0,85
77998,76,0,87
78000,76,0,88
78002,76,0,89
78004,76,0,90
78036,76,0,106
78038,76,0,107
78040,76,0,108
78042,76,0,109
78918,77,0,35
78920,77,0,36
78922,77,0,37
78924,77,0,38
78926,77,0,39
78960,77,0,56
79012,77,0,82
79014,77,0,83
79024,77,0,88
79026,77,0,89
79028,77,0,90
79060,77,0,106
79062,77,0,107
79064,77,0,108
79948,78,0,38
79950,78,0,39
79952,78,0,40
79984,78,0,56
80036,78,0,82
80038,78,0,83
80050,78,0,89
80052,78,0,90
80054,78,0,91
80056,78,0,92
80058,78,0,93
80084,78,0,106
80086,78,0,107
80088,78,0,108
81006,79,0,55
81008,79,0,56
81060,79,0,82
81082,79,0,93
81084,79,0,94
81086,79,0,95
81106,79,0,105
81108,79,0,106
81110,79,0,107
82030,80,0,55
82032,80,0,56
82080,80,0,80
82084,80,0,82
82106,80,0,93
82108,80,0,94
82110,80,0,95
82112,80,0,96
82130,80,0,105
82132,80,0,106
82134,80,0,107
83054,81,0,55
83102,81,0,79
83104,81,0,80
83106,81,0,81
83108,81,0,82
83130,81,0,93
83132,81,0,94
83134,81,0,95
83136,81,0,96
83152,81,0,104
83154,81,0,105
83156,81,0,106
84126,82,0,79
84128,82,0,80
84130,82,0,81
84132,82,0,82
84176,82,0,104
84178,82,0,105
84180,82,0,106
85150,83,0,79
85152,83,0,80
85154,83,0,81
85198,83,0,103
85200,83,0,104
85202,83,0,105
85204,83,0,106
86174,84,0,79
86176,84,0,80
86222,84,0,103
86224,84,0,104
87198,85,0,79
87200,85,0,80
87246,85,0,103
87248,85,0,104
87250,85,0,105
87252,85,0,106
88218,86,0,77
88220,86,0,78
88222,86,0,79
88224,86,0,80
88272,86,0,104
88274,86,0,105
88276,86,0,106
89242,87,0,77
89244,87,0,78
89246,87,0,79
89248,87,0,80
89296,87,0,104
89298,87,0,105
89300,87,0,106
90266,88,0,77
90268,88,0,78
90270,88,0,79
90272,88,0,80
90324,88,0,106
90326,88,0,107
91290,89,0,77
91292,89,0,78
91294,89,0,79
91348,89,0,106
91350,89,0,107
91352,89,0,108
92314,90,0,77
92316,90,0,78
92318,90,0,79
92372,90,0,106
92374,90,0,107
92376,90,0,108
92378,90,0,109
93388,91,0,102
93390,91,0,103
93394,91,0,105
93396,91,0,106
93398,91,0,107
93400,91,0,108
93402,91,0,109
94412,92,0,102
94414,92,0,103
94416,92,0,104
94418,92,0,105
94422,92,0,107
94424,92,0,108
94426,92,0,109
94428,92,0,110
95434,93,0,101
95436,93,0,102
95438,93,0,103
95440,93,0,104
95442,93,0,105
96454,94,0,99
96456,94,0,100
96458,94,0,101
97478,95,0,99
97480,95,0,100
97482,95,0,101
97552,95,0,136
97554,95,0,137
97556,95,0,138
98502,96,0,99
98504,96,0,100
98576,96,0,136
98578,96,0,137
98580,96,0,138
98582,96,0,139
98584,96,0,140
98586,96,0,141
98588,96,0,142
99526,97,0,99
99528,97,0,100
99596,97,0,134
99598,97,0,135
99600,97,0,136
99602,97,0,137
99604,97,0,138
99606,97,0,139
99608,97,0,140
99610,97,0,141
99612,97,0,142
100548,98,0,98
100550,98,0,99
100552,98,0,100
100620,98,0,134
100622,98,0,135
100634,98,0,141
100636,98,0,142
101570,99,0,97
101572,99,0,98
101574,99,0,99
101576,99,0,100
101644,99,0,134
102594,100,0,97
102596,100,0,98
102598,100,0,99
102600,100,0,100
102664,100,0,132
102666,100,0,133
102668,100,0,134
103618,101,0,97
103686,101,0,131
103688,101,0,132
103690,101,0,133
103692,101,0,134
104642,102,0,97
104710,102,0,131
104712,102,0,132
104714,102,0,133
105664,103,0,96
105666,103,0,97
105734,103,0,131
105736,103,0,132
105738,103,0,133
106688,104,0,96
106690,104,0,97
106692,104,0,98
106694,104,0,99
106758,104,0,131
106760,104,0,132
106762,104,0,133
107712,105,0,96
107714,105,0,97
107716,105,0,98
107718,105,0,99
107782,105,0,131
107784,105,0,132
107786,105,0,133
108738,106,0,97
108740,106,0,98
108806,106,0,131
108808,106,0,132
108810,106,0,133
109762,107,0,97
109764,107,0,98
109832,107,0,132
109834,107,0,133
110784,108,0,96
110786,108,0,97
110788,108,0,98
110858,108,0,133
110860,108,0,134
111808,109,0,96
111810,109,0,97
111812,109,0,98
111882,109,0,133
112836,110,0,98
112838,110,0,99
112840,110,0,100
112906,110,0,133
112956,110,0,158
112958,110,0,159
112960,110,0,160
113862,111,0,99
113864,111,0,100
113866,111,0,101
113928,111,0,132
113930,111,0,133
113932,111,0,134
113934,111,0,135
113972,111,0,154
113974,111,0,155
113976,111,0,156
113980,111,0,158
113982,111,0,159
113984,111,0,160
114886,112,0,99
114888,112,0,100
114890,112,0,101
114892,112,0,102
114894,112,0,103
114896,112,0,104
114898,112,0,105
114936,112,0,124
114952,112,0,132
114954,112,0,133
114956,112,0,134
114958,112,0,135
114992,112,0,152
114994,112,0,153
114996,112,0,154
114998,112,0,155
115000,112,0,156
115002,112,0,157
115006,112,0,159
115912,113,0,100
115914,113,0,101
115916,113,0,102
115918,113,0,103
115920,113,0,104
115922,113,0,105
115960,113,0,124
115978,113,0,133
115980,113,0,134
115982,113,0,135
116014,113,0,151
116016,113,0,152
116018,113,0,153
116020,113,0,154
116030,113,0,159
116064,113,0,176
116066,113,0,177
116068,113,0,178
116944,114,0,104
116946,114,0,105
116984,114,0,124
117004,114,0,134
117006,114,0,135
117036,114,0,150
117038,114,0,151
117040,114,0,152
117042,114,0,153
117052,114,0,158
117054,114,0,159
117088,114,0,176
118006,115,0,123
118008,115,0,124
118010,115,0,125
118012,115,0,126
118030,115,0,135
118060,115,0,150
118062,115,0,151
118064,115,0,152
118066,115,0,153
118076,115,0,158
118078,115,0,159
118108,115,0,174
118110,115,0,175
118112,115,0,176
119032,116,0,124
119034,116,0,125
119036,116,0,126
119038,116,0,127
119054,116,0,135
119084,116,0,150
119086,116,0,151
119088,116,0,152
119100,116,0,158
119102,116,0,159
119130,116,0,173
119132,116,0,174
119134,116,0,175
119136,116,0,176
120060,117,0,126
120062,117,0,127
120064,117,0,128
120076,117,0,134
120078,117,0,135
120108,117,0,150
120110,117,0,151
120124,117,0,158
120154,117,0,173
120156,117,0,174
120158,117,0,175
121084,118,0,126
121086,118,0,127
121088,118,0,128
121094,118,0,131
121096,118,0,132
121098,118,0,133
121100,118,0,134
121102,118,0,135
121132,118,0,150
121134,118,0,151
121136,118,0,152
121148,118,0,158
121176,118,0,172
121178,118,0,173
121180,118,0,174
122110,119,0,127
122112,119,0,128
122114,119,0,129
122116,119,0,130
122118,119,0,131
122120,119,0,132
122122,119,0,133
122124,119,0,134
122156,119,0,150
122158,119,0,151
122160,119,0,152
122170,119,0,157
122172,119,0,158
122200,119,0,172
122204,119,0,174
123138,120,0,129
123140,120,0,130
123142,120,0,131
123148,120,0,134
123180,120,0,150
123182,120,0,151
123184,120,0,152
123192,120,0,156
123194,120,0,157
123196,120,0,158
123222,120,0,171
123224,120,0,172
124204,121,0,150
124206,121,0,151
124216,121,0,156
124218,121,0,157
124220,121,0,158
124246,121,0,171
124248,121,0,172
124274,121,0,185
125228,122,0,150
125230,122,0,151
125232,122,0,152
125234,122,0,153
125240,122,0,156
125242,122,0,157
125270,122,0,171
125272,122,0,172
125296,122,0,184
125298,122,0,185
125300,122,0,186
125302,122,0,187
126252,123,0,150
126254,123,0,151
126256,123,0,152
126258,123,0,153
126264,123,0,156
126266,123,0,157
126294,123,0,171
126320,123,0,184
126322,123,0,185
126324,123,0,186
126326,123,0,187
127280,124,0,152
127282,124,0,153
127284,124,0,154
127286,124,0,155
127288,124,0,156
127290,124,0,157
127318,124,0,171
127340,124,0,182
127342,124,0,183
127344,124,0,184
127346,124,0,185
128306,125,0,153
128308,125,0,154
128310,125,0,155
128312,125,0,156
128314,125,0,157
128340,125,0,170
128342,125,0,171
128364,125,0,182
128366,125,0,183
128368,125,0,184
128370,125,0,185
129336,126,0,156
129338,126,0,157
129340,126,0,158
129364,126,0,170
129366,126,0,171
129384,126,0,180
129386,126,0,181
129388,126,0,182
130360,127,0,156
130362,127,0,157
130364,127,0,158
130388,127,0,170
130390,127,0,171
130402,127,0,177
130404,127,0,178
130406,127,0,179
130408,127,0,180
130410,127,0,181
130412,127,0,182
131386,128,0,157
131388,128,0,158
131412,128,0,170
131426,128,0,177
131428,128,0,178
131430,128,0,179
131432,128,0,180
131434,128,0,181
131466,128,0,197
131468,128,0,198
131470,128,0,199
131472,128,0,200
131474,128,0,201
131476,128,0,202
131478,128,0,203
131480,128,0,204
131482,128,0,205
132408,129,0,156
132410,129,0,157
132412,129,0,158
132436,129,0,170
132444,129,0,174
132446,129,0,175
132448,129,0,176
132450,129,0,177
132452,129,0,178
132454,129,0,179
132456,129,0,180
132484,129,0,194
132486,129,0,195
132490,129,0,197
132492,129,0,198
132494,129,0,199
132496,129,0,200
132498,129,0,201
132502,129,0,203
132504,129,0,204
132506,129,0,205
132508,129,0,206
132510,129,0,207
133432,130,0,156
133434,130,0,157
133436,130,0,158
133458,130,0,169
133460,130,0,170
133466,130,0,173
133468,130,0,174
133470,130,0,175
133472,130,0,176
133504,130,0,192
133506,130,0,193
133508,130,0,194
133510,130,0,195
133512,130,0,196
133514,130,0,197
133516,130,0,198
133518,130,0,199
133520,130,0,200
133522,130,0,201
133530,130,0,205
133532,130,0,206
133534,130,0,207
133536,130,0,208
133538,130,0,209
134456,131,0,156
134458,131,0,157
134460,131,0,158
134462,131,0,159
134482,131,0,169
134484,131,0,170
134486,131,0,171
134488,131,0,172
134490,131,0,173
134492,131,0,174
134494,131,0,175
134496,131,0,176
134528,131,0,192
134530,131,0,193
134532,131,0,194
134534,131,0,195
134540,131,0,198
134554,131,0,205
134556,131,0,206
134558,131,0,207
134560,131,0,208
134562,131,0,209
134564,131,0,210
135484,132,0,158
135506,132,0,169
135508,132,0,170
135514,132,0,173
135550,132,0,191
135552,132,0,192
135554,132,0,193
135556,132,0,194
135558,132,0,195
135584,132,0,208
135586,132,0,209
135588,132,0,210
136574,133,0,191
136576,133,0,192
136578,133,0,193
136580,133,0,194
136608,133,0,208
136610,133,0,209
136612,133,0,210
137594,134,0,189
137598,134,0,191
137600,134,0,192
137602,134,0,193
